frame,distance,p3_action_frame,p3_controller_c_stick_x,p3_controller_c_stick_y,p3_controller_l_shoulder,p3_controller_r_shoulder,p3_controller_main_stick_x,p3_controller_main_stick_y,p3_button_button_a,p3_button_button_b,p3_button_button_x,p3_button_button_y,p3_button_button_z,p3_button_button_l,p3_button_button_r,p3_button_button_start,p3_button_button_d_up,p3_button_button_d_down,p3_button_button_d_left,p3_button_button_d_right,p3_ecb_bottom_x,p3_ecb_bottom_y,p3_ecb_left_x,p3_ecb_left_y,p3_ecb_right_x,p3_ecb_right_y,p3_ecb_top_x,p3_ecb_top_y,p3_facing,p3_hitlag_left,p3_hitstun_frames_left,p3_iasa,p3_invulnerability_left,p3_invulnerable,p3_jumps_left,p3_moonwalkwarning,p3_nana,p3_off_stage,p3_on_ground,p3_percent,p3_position_x,p3_position_y,p3_shield_strength,p3_speed_air_x_self,p3_speed_ground_x_self,p3_speed_x_attack,p3_speed_y_self,p3_stock,p4_action_frame,p4_controller_c_stick_x,p4_controller_c_stick_y,p4_controller_l_shoulder,p4_controller_r_shoulder,p4_controller_main_stick_x,p4_controller_main_stick_y,p4_button_button_a,p4_button_button_b,p4_button_button_x,p4_button_button_y,p4_button_button_z,p4_button_button_l,p4_button_button_r,p4_button_button_start,p4_button_button_d_up,p4_button_button_d_down,p4_button_button_d_left,p4_button_button_d_right,p4_ecb_bottom_x,p4_ecb_bottom_y,p4_ecb_left_x,p4_ecb_left_y,p4_ecb_right_x,p4_ecb_right_y,p4_ecb_top_x,p4_ecb_top_y,p4_facing,p4_hitlag_left,p4_hitstun_frames_left,p4_iasa,p4_invulnerability_left,p4_invulnerable,p4_jumps_left,p4_moonwalkwarning,p4_nana,p4_off_stage,p4_on_ground,p4_percent,p4_position_x,p4_position_y,p4_shield_strength,p4_speed_air_x_self,p4_speed_ground_x_self,p4_speed_x_attack,p4_speed_y_self,p4_stock,proj0_frame,proj0_owner,proj0_position_x,proj0_position_y,proj0_speed_x,proj0_speed_y,proj1_frame,proj1_owner,proj1_position_x,proj1_position_y,proj1_speed_x,proj1_speed_y,stage,p3_action,p3_character,p4_action,p4_character
177,5.265114054807534,9,0.5,0.5,0.0,0.0,0.987500011920929,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,False,1,False,False,False,False,0,13.047982215881348,19.80890464782715,58.03998565673828,0.3540000319480896,0.0,0.0,1.7200006246566772,4,7,0.5,0.5,0.0,0.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,9,False,0,False,5,False,False,False,False,14,17.458595275878906,16.93350601196289,60.0,0.0,0.0,0.6650118827819824,-0.3840000331401825,4,,,,,,,,,,,,,DREAMLAND,NAIR,SHEIK,DAMAGE_AIR_2,JIGGLYPUFF
192,18.645117628402165,24,0.5,0.5,0.0,0.0,1.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,False,1,False,False,False,False,0,23.591976165771484,31.208911895751953,59.08998107910156,0.800000011920929,0.0,0.0,-0.07999943196773529,4,2,0.5,0.5,0.0,0.0,0.5,0.987500011920929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,4,False,False,False,False,14,20.196086883544922,12.875654220581055,60.0,-0.3075000047683716,0.0,0.04611393064260483,1.5219999551773071,4,,,,,,,,,,,,,DREAMLAND,NAIR,SHEIK,LASER_GUN_PULL,JIGGLYPUFF
207,4.582232302574353,1,0.5,0.5,0.0,0.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2,16,False,0,False,1,False,False,False,False,12,31.591968536376953,23.808917999267578,60.0,0.0,0.0,0.8565669059753418,0.0,4,9,0.5,0.5,0.0,0.0,0.0062499940395355225,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2,0,0,0,False,4,False,False,False,False,14,27.074939727783203,24.579179763793945,60.0,0.9070001244544983,0.0,0.0,0.8819998502731323,4,,,,,,,,,,,,,DREAMLAND,DAMAGE_AIR_2,SHEIK,BAIR,JIGGLYPUFF
222,15.261271329345096,5,0.5,0.5,0.0,0.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,2,False,False,False,True,12,42.585296630859375,30.242599487304688,60.0,0.0,0.0,0.092458575963974,0.0,4,23,0.5,0.5,0.0,0.0,0.9937499761581421,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,4,False,False,False,False,14,27.324066162109375,30.207176208496094,60.0,0.6672501564025879,0.0,0.0,-0.014000274240970612,4,,,,,,,,,,,,,DREAMLAND,TURNING,SHEIK,BAIR,JIGGLYPUFF
237,12.132087445133553,3,0.5,0.5,1.0,1.0,0.831250011920929,0.13124999403953552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,12,47.92946243286133,22.39788818359375,60.0,1.5102182626724243,0.0,0.0,-1.681186318397522,4,38,0.5,0.5,0.0,0.0,0.5,0.731249988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,4,False,False,False,False,14,41.82894515991211,11.911170959472656,60.0,0.6487501859664917,0.0,0.0,-1.600000023841858,4,,,,,,,,,,,,,DREAMLAND,AIRDODGE,SHEIK,BAIR,JIGGLYPUFF
252,31.603176140816924,18,0.5,0.5,1.0,1.0,0.8500000238418579,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,True,1,False,False,False,False,12,58.72296142578125,10.382487297058105,60.0,0.3109404742717743,0.0,0.0,-0.3461412489414215,4,12,0.5,0.5,0.30714285373687744,0.30714285373687744,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,3,False,False,False,False,14,32.54057312011719,28.08116912841797,60.0,-1.350000023841858,0.0,0.0,0.6299998760223389,4,,,,,,,,,,,,,DREAMLAND,AIRDODGE,SHEIK,BAIR,JIGGLYPUFF
267,52.14055944706698,33,0.5,0.5,0.0,0.0,0.800000011920929,0.10624998807907104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,12,61.531044006347656,-0.9837989807128906,60.0,0.2900763750076294,0.0,0.0,-3.0,4,27,0.5,0.5,0.0,0.0,0.987500011920929,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,3,False,False,False,False,14,19.485322952270508,29.851167678833008,60.0,0.4822499752044678,0.0,0.0,-0.33000025153160095,4,,,,,,,,,,,,,DREAMLAND,AIRDODGE,SHEIK,BAIR,JIGGLYPUFF
282,28.613391904649518,-1,0.5,0.5,0.7142857313156128,0.7142857313156128,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,2,False,False,False,True,12,60.041046142578125,0.008899999782443047,60.0,-0.37000009417533875,-0.37000006437301636,0.0,0.0,4,3,0.5,0.5,0.0,0.0,0.84375,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,3,False,False,False,False,14,37.183570861816406,17.221162796020508,60.0,1.1987501382827759,0.0,0.0,-1.290000319480896,4,,,,,,,,,,,,,DREAMLAND,SHIELD_START,SHEIK,FALLING,JIGGLYPUFF
297,10.236221356591152,-1,0.5,0.5,1.0,1.0,0.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,15,False,0,False,2,False,False,False,True,12,59.361045837402344,0.008899999782443047,56.32858657836914,0.0,0.0,0.0,0.0,4,2,0.5,0.5,0.0,0.0,0.5,0.675000011920929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,6,False,False,False,True,14,49.12482452392578,0.008899999782443047,60.0,0.4087502062320709,0.40875014662742615,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,SHIELD,SHEIK,LANDING,JIGGLYPUFF
312,19.312239265533627,8,0.5,0.5,1.0,1.0,0.043749988079071045,0.30000001192092896,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,1,False,False,False,False,12,53.09104537963867,19.048904418945312,55.69858932495117,-0.7300000190734863,0.0,0.0,1.9600006341934204,4,12,0.5,0.5,0.0,0.0,0.5,0.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,False,6,False,False,False,True,14,49.859825134277344,0.008899999782443047,60.0,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,JUMPING_FORWARD,SHEIK,UPTILT,JIGGLYPUFF
